Model,Type,Phase,Exact Acc,Exact Count,SuperCat Acc,SuperCat Count,SuperCat Only,Failed,Total
google/paligemma-3b-mix-224,legacy,HQ,0.3440207972270364,397/1154,0.4930675909878683,569/1154,172,6,1154
google/paligemma-3b-mix-448,legacy,HQ,0.04592720970537262,53/1154,0.08492201039861352,98/1154,45,3,1154
huggingfacetb/smolvlm-instruct,legacy,HQ,0.6551126516464472,756/1154,0.7694974003466204,888/1154,132,0,1154
llava-hf/llava-1.5-13b-hf,legacy,HQ,0.6949740034662045,802/1154,0.8812824956672444,1017/1154,215,0,1154
llava-hf/llava-1.5-7b-hf,legacy,HQ,0.6247833622183708,721/1154,0.8266897746967071,954/1154,233,0,1154
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,HQ,0.0684575389948007,79/1154,0.11525129982668977,133/1154,54,766,1154
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,HQ,0.7504332755632582,866/1154,0.9090121317157712,1049/1154,183,0,1154
meta-llama/llama-3.2-11b-vision-instruct,legacy,HQ,0.7746967071057193,894/1154,0.8847487001733102,1021/1154,127,1,1154
mistral-community/pixtral-12b,legacy,HQ,0.6230502599653379,719/1154,0.82842287694974,956/1154,237,0,1154
qwen/qwen2-vl-2b-instruct,legacy,HQ,0.6993067590987868,807/1154,0.865684575389948,999/1154,192,0,1154
qwen/qwen2-vl-7b-instruct,legacy,HQ,0.7876949740034662,909/1154,0.9263431542461005,1069/1154,160,0,1154
qwen/qwen2.5-vl-3b-instruct,legacy,HQ,0.03986135181975736,46/1154,0.043327556325823226,50/1154,4,1097,1154
qwen/qwen2.5-vl-7b-instruct,legacy,HQ,0.03466204506065858,40/1154,0.038128249566724434,44/1154,4,0,1154
qwen/qwen3-vl-2b-instruct,legacy,HQ,0.049393414211438474,57/1154,0.05545927209705372,64/1154,7,1041,1154
qwen/qwen3-vl-4b-instruct,legacy,HQ,0.14471403812824957,167/1154,0.16204506065857885,187/1154,20,465,1154
qwen/qwen3-vl-8b-instruct,legacy,HQ,0.029462738301559793,34/1154,0.033795493934142114,39/1154,5,1088,1154
google/paligemma-3b-mix-224,legacy,Silhouette,0.17504332755632582,202/1154,0.2824956672443674,326/1154,124,1,1154
google/paligemma-3b-mix-448,legacy,Silhouette,0.04679376083188908,54/1154,0.07972270363951472,92/1154,38,0,1154
huggingfacetb/smolvlm-instruct,legacy,Silhouette,0.3266897746967071,377/1154,0.44974003466204504,519/1154,142,0,1154
llava-hf/llava-1.5-13b-hf,legacy,Silhouette,0.3934142114384749,454/1154,0.6152512998266898,710/1154,256,0,1154
llava-hf/llava-1.5-7b-hf,legacy,Silhouette,0.34748700173310226,401/1154,0.5788561525129983,668/1154,267,2,1154
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,Silhouette,0.04852686308492201,56/1154,0.0805892547660312,93/1154,37,873,1154
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,Silhouette,0.5519930675909879,637/1154,0.7157712305025996,826/1154,189,0,1154
meta-llama/llama-3.2-11b-vision-instruct,legacy,Silhouette,0.5086655112651647,587/1154,0.6594454072790294,761/1154,174,4,1154
mistral-community/pixtral-12b,legacy,Silhouette,0.42287694974003465,488/1154,0.6135181975736569,708/1154,220,0,1154
qwen/qwen2-vl-2b-instruct,legacy,Silhouette,0.4809358752166378,555/1154,0.6655112651646448,768/1154,213,0,1154
qwen/qwen2-vl-7b-instruct,legacy,Silhouette,0.5467937608318891,631/1154,0.6967071057192374,804/1154,173,0,1154
qwen/qwen2.5-vl-3b-instruct,legacy,Silhouette,0.022530329289428077,26/1154,0.030329289428076257,35/1154,9,1107,1154
qwen/qwen2.5-vl-7b-instruct,legacy,Silhouette,0.026863084922010397,31/1154,0.03292894280762565,38/1154,7,0,1154
qwen/qwen3-vl-2b-instruct,legacy,Silhouette,0.03292894280762565,38/1154,0.0389948006932409,45/1154,7,1060,1154
qwen/qwen3-vl-4b-instruct,legacy,Silhouette,0.25043327556325823,289/1154,0.30675909878682844,354/1154,65,450,1154
qwen/qwen3-vl-8b-instruct,legacy,Silhouette,0.01993067590987868,23/1154,0.022530329289428077,26/1154,3,1114,1154
