Loaded 16 HQ models, 16 silhouette models
Family taxonomy: 70 families

==================================================================================================================================
  CUB-200 ACCURACY — HQ IMAGES
==================================================================================================================================
Model                                                   Type          Exact Acc      Exact Family Acc     Family  Fam Only   Failed
----------------------------------------------------------------------------------------------------------------------------------
meta-llama/llama-3.2-11b-vision-instruct                legacy          43.56% 5135/11788    66.61% 7852/11788      2717      153
qwen/qwen2-vl-7b-instruct                               legacy          28.85% 3401/11788    45.95% 5417/11788      2016        0
llava-hf/llava-onevision-qwen2-7b-ov-hf                 legacy          20.61% 2429/11788    41.42% 4883/11788      2454       11
qwen/qwen3-vl-8b-instruct                               legacy          20.40% 2405/11788    33.75% 3979/11788      1574     5799
qwen/qwen2-vl-2b-instruct                               legacy          13.75% 1621/11788    20.63% 2432/11788       811        0
mistral-community/pixtral-12b                           legacy          12.15% 1432/11788    23.66% 2789/11788      1357        0
qwen/qwen3-vl-4b-instruct                               legacy          10.44% 1231/11788    37.62% 4435/11788      3204     3699
qwen/qwen2.5-vl-7b-instruct                             legacy           3.72%  438/11788    17.76% 2094/11788      1656        0
qwen/qwen3-vl-2b-instruct                               legacy           3.62%  427/11788    10.72% 1264/11788       837     8789
llava-hf/llava-1.5-7b-hf                                legacy           3.22%  380/11788     5.66%  667/11788       287        0
huggingfacetb/smolvlm-instruct                          legacy           3.14%  370/11788    14.01% 1652/11788      1282        0
qwen/qwen2.5-vl-3b-instruct                             legacy           2.59%  305/11788     4.82%  568/11788       263    10849
llava-hf/llava-1.5-13b-hf                               legacy           2.38%  280/11788    13.59% 1602/11788      1322        0
llava-hf/llava-onevision-qwen2-0.5b-ov-hf               legacy           0.08%    9/11788     1.42%  167/11788       158    10942
google/paligemma-3b-mix-448                             legacy           0.00%    0/11788     0.00%    0/11788         0    11788
google/paligemma-3b-mix-224                             legacy           0.00%    0/11788     0.01%    1/11788         1    11622

  [AVG LEGACY      ]                                                         10.53%               21.10%

==================================================================================================================================
  CUB-200 ACCURACY — SILHOUETTE IMAGES
==================================================================================================================================
Model                                                   Type          Exact Acc      Exact Family Acc     Family  Fam Only   Failed
----------------------------------------------------------------------------------------------------------------------------------
qwen/qwen2-vl-7b-instruct                               legacy           2.42%  285/11788    11.54% 1360/11788      1075       11
meta-llama/llama-3.2-11b-vision-instruct                legacy           2.06%  243/11788     5.70%  672/11788       429     2318
llava-hf/llava-onevision-qwen2-7b-ov-hf                 legacy           1.70%  200/11788     2.85%  336/11788       136       12
mistral-community/pixtral-12b                           legacy           1.20%  141/11788     3.04%  358/11788       217        0
qwen/qwen2-vl-2b-instruct                               legacy           1.19%  140/11788     3.48%  410/11788       270        0
qwen/qwen3-vl-4b-instruct                               legacy           0.79%   93/11788     4.89%  576/11788       483     5204
llava-hf/llava-1.5-13b-hf                               legacy           0.74%   87/11788     9.05% 1067/11788       980        0
llava-hf/llava-1.5-7b-hf                                legacy           0.50%   59/11788     1.50%  177/11788       118        0
huggingfacetb/smolvlm-instruct                          legacy           0.30%   35/11788     2.63%  310/11788       275        0
qwen/qwen3-vl-2b-instruct                               legacy           0.27%   32/11788     2.23%  263/11788       231     8704
qwen/qwen3-vl-8b-instruct                               legacy           0.22%   26/11788     0.50%   59/11788        33    11046
qwen/qwen2.5-vl-7b-instruct                             legacy           0.22%   26/11788     0.70%   82/11788        56        9
qwen/qwen2.5-vl-3b-instruct                             legacy           0.14%   17/11788     0.66%   78/11788        61    10854
llava-hf/llava-onevision-qwen2-0.5b-ov-hf               legacy           0.00%    0/11788     0.06%    7/11788         7    11188
google/paligemma-3b-mix-448                             legacy           0.00%    0/11788     0.00%    0/11788         0    11788
google/paligemma-3b-mix-224                             legacy           0.00%    0/11788     0.00%    0/11788         0    11788

  [AVG LEGACY      ]                                                          0.73%                3.05%

==================================================================================================================================
  HQ vs SILHOUETTE COMPARISON
==================================================================================================================================
Model                                                   Type           HQ Exact  Sil Exact    Delta     HQ Fam    Sil Fam    Delta
----------------------------------------------------------------------------------------------------------------------------------
meta-llama/llama-3.2-11b-vision-instruct                legacy          43.56%      2.06% +41.50%    66.61%      5.70% +60.91%
qwen/qwen2-vl-7b-instruct                               legacy          28.85%      2.42% +26.43%    45.95%     11.54% +34.42%
llava-hf/llava-onevision-qwen2-7b-ov-hf                 legacy          20.61%      1.70% +18.91%    41.42%      2.85% +38.57%
qwen/qwen3-vl-8b-instruct                               legacy          20.40%      0.22% +20.18%    33.75%      0.50% +33.25%
qwen/qwen2-vl-2b-instruct                               legacy          13.75%      1.19% +12.56%    20.63%      3.48% +17.15%
mistral-community/pixtral-12b                           legacy          12.15%      1.20% +10.95%    23.66%      3.04% +20.62%
qwen/qwen3-vl-4b-instruct                               legacy          10.44%      0.79%  +9.65%    37.62%      4.89% +32.74%
qwen/qwen2.5-vl-7b-instruct                             legacy           3.72%      0.22%  +3.50%    17.76%      0.70% +17.07%
qwen/qwen3-vl-2b-instruct                               legacy           3.62%      0.27%  +3.35%    10.72%      2.23%  +8.49%
llava-hf/llava-1.5-7b-hf                                legacy           3.22%      0.50%  +2.72%     5.66%      1.50%  +4.16%
huggingfacetb/smolvlm-instruct                          legacy           3.14%      0.30%  +2.84%    14.01%      2.63% +11.38%
qwen/qwen2.5-vl-3b-instruct                             legacy           2.59%      0.14%  +2.44%     4.82%      0.66%  +4.16%
llava-hf/llava-1.5-13b-hf                               legacy           2.38%      0.74%  +1.64%    13.59%      9.05%  +4.54%
llava-hf/llava-onevision-qwen2-0.5b-ov-hf               legacy           0.08%      0.00%  +0.08%     1.42%      0.06%  +1.36%
google/paligemma-3b-mix-448                             legacy           0.00%      0.00%  +0.00%     0.00%      0.00%  +0.00%
google/paligemma-3b-mix-224                             legacy           0.00%      0.00%  +0.00%     0.01%      0.00%  +0.01%

==================================================================================================================================
  FAMILY ACCURACY — HQ (aggregated across models)
==================================================================================================================================

  LEGACY:
  Family                      Accuracy    Correct      Total   In Dataset
  ------------------------- ---------- ---------- ---------- ------------
  cardinal                     54.17%        494        912           57
  mallard                      35.42%        340        960           60
  creeper                      34.00%        321        944           59
  flicker                      26.98%        259        960           60
  goldfinch                    26.82%        515       1920          120
  frigatebird                  25.94%        249        960           60
  bunting                      25.14%        708       2816          176
  jay                          24.79%        702       2832          177
  nuthatch                     24.58%        236        960           60
  meadowlark                   23.75%        228        960           60
  pelican                      22.33%        393       1760          110
  blackbird                    21.04%        791       3760          235
  chat                         20.66%        195        944           59
  crow                         19.17%        368       1920          120
  catbird                      19.11%        318       1664          104
  hummingbird                  17.95%        517       2880          180
  yellowthroat                 17.60%        169        960           60
  waxwing                      17.40%        334       1920          120
  finch                        17.02%        324       1904          119
  ani                          16.67%        160        960           60
  lark                         15.83%        152        960           60
  merganser                    15.83%        304       1920          120
  mockingbird                  15.83%        152        960           60
  albatross                    15.62%        445       2848          178
  bobolink                     15.62%        150        960           60
  grebe                        15.55%        597       3840          240
  woodpecker                   14.80%        824       5568          348
  nighthawk                    14.69%        141        960           60
  junco                        14.48%        139        960           60
  puffin                       14.17%        136        960           60
  swallow                      13.21%        505       3824          239
  gadwall                      12.50%        120        960           60
  towhee                       11.82%        227       1920          120
  ovenbird                     11.56%        111        960           60
  grosbeak                     11.15%        428       3840          240
  tanager                      11.09%        213       1920          120
  kingfisher                   10.48%        503       4800          300
  cormorant                    10.23%        280       2736          171
  widow                        10.16%         91        896           56
  wren                          9.70%        650       6704          419
  flycatcher                    9.25%        617       6672          417
  redstart                      9.06%         87        960           60
  pipit                         8.75%         84        960           60
  violetear                     8.44%         81        960           60
  auklet                        8.27%        246       2976          186
  oriole                        8.24%        315       3824          239
  loon                          8.12%         78        960           60
  thrasher                      8.04%        153       1904          119
  gull                          6.64%        498       7504          469
  tern                          6.52%        436       6688          418
  fulmar                        6.35%         61        960           60
  sparrow                       5.71%       1137      19904         1244
  shrike                        5.21%        100       1920          120
  kittiwake                     5.07%         43        848           53
  vireo                         5.01%        328       6544          409
  warbler                       4.95%       1180      23840         1490
  cuckoo                        4.76%        131       2752          172
  guillemot                     4.74%         44        928           58
  kingbird                      4.67%         89       1904          119
  nutcracker                    4.38%         42        960           60
  geococcyx                     3.96%         38        960           60
  will                          3.95%         31        784           49
  grackle                       3.85%         37        960           60
  starling                      3.54%         34        960           60
  waterthrush                   3.49%         67       1920          120
  jaeger                        3.07%         59       1920          120
  raven                         1.84%         35       1904          119
  sayornis                      0.83%          8        960           60
  cowbird                       0.57%         11       1920          120
  pewee                         0.42%          4        960           60

==================================================================================================================================
  FAMILY ACCURACY — SILHOUETTE (aggregated across models)
==================================================================================================================================

  LEGACY:
  Family                      Accuracy    Correct      Total   In Dataset
  ------------------------- ---------- ---------- ---------- ------------
  cardinal                     12.17%        111        912           57
  crow                         10.21%        196       1920          120
  mallard                       7.08%         68        960           60
  pelican                       5.97%        105       1760          110
  albatross                     5.37%        153       2848          178
  mockingbird                   5.31%         51        960           60
  hummingbird                   4.38%        126       2880          180
  cormorant                     3.40%         93       2736          171
  ani                           3.33%         32        960           60
  frigatebird                   3.33%         32        960           60
  auklet                        2.62%         78       2976          186
  cuckoo                        1.60%         44       2752          172
  grebe                         1.38%         53       3840          240
  guillemot                     1.29%         12        928           58
  raven                         0.79%         15       1904          119
  bobolink                      0.73%          7        960           60
  gadwall                       0.73%          7        960           60
  kingfisher                    0.69%         33       4800          300
  blackbird                     0.64%         24       3760          235
  fulmar                        0.52%          5        960           60
  loon                          0.52%          5        960           60
  flicker                       0.42%          4        960           60
  warbler                       0.24%         57      23840         1490
  swallow                       0.21%          8       3824          239
  merganser                     0.21%          4       1920          120
  catbird                       0.18%          3       1664          104
  woodpecker                    0.18%         10       5568          348
  goldfinch                     0.16%          3       1920          120
  gull                          0.15%         11       7504          469
  creeper                       0.11%          1        944           59
  flycatcher                    0.10%          7       6672          417
  jaeger                        0.10%          2       1920          120
  puffin                        0.10%          1        960           60
  sparrow                       0.08%         15      19904         1244
  vireo                         0.06%          4       6544          409
  waxwing                       0.05%          1       1920          120
  bunting                       0.04%          1       2816          176
  tern                          0.01%          1       6688          418
  wren                          0.01%          1       6704          419
  chat                          0.00%          0        944           59
  towhee                        0.00%          0       1920          120
  widow                         0.00%          0        896           56
  cowbird                       0.00%          0       1920          120
  finch                         0.00%          0       1904          119
  grackle                       0.00%          0        960           60
  grosbeak                      0.00%          0       3840          240
  violetear                     0.00%          0        960           60
  jay                           0.00%          0       2832          177
  junco                         0.00%          0        960           60
  kingbird                      0.00%          0       1904          119
  kittiwake                     0.00%          0        848           53
  lark                          0.00%          0        960           60
  meadowlark                    0.00%          0        960           60
  nighthawk                     0.00%          0        960           60
  nutcracker                    0.00%          0        960           60
  nuthatch                      0.00%          0        960           60
  oriole                        0.00%          0       3824          239
  ovenbird                      0.00%          0        960           60
  pewee                         0.00%          0        960           60
  sayornis                      0.00%          0        960           60
  pipit                         0.00%          0        960           60
  will                          0.00%          0        784           49
  redstart                      0.00%          0        960           60
  geococcyx                     0.00%          0        960           60
  shrike                        0.00%          0       1920          120
  starling                      0.00%          0        960           60
  tanager                       0.00%          0       1920          120
  thrasher                      0.00%          0       1904          119
  waterthrush                   0.00%          0       1920          120
  yellowthroat                  0.00%          0        960           60

