Model,Type,Phase,Exact Acc,Exact Count,Family Acc,Family Count,Family Only,Failed,Total
google/paligemma-3b-mix-224,legacy,HQ,0.0,0/11788,8.483203257550051e-05,1/11788,1,11622,11788
google/paligemma-3b-mix-448,legacy,HQ,0.0,0/11788,0.0,0/11788,0,11788,11788
huggingfacetb/smolvlm-instruct,legacy,HQ,0.03138785205293519,370/11788,0.14014251781472684,1652/11788,1282,0,11788
llava-hf/llava-1.5-13b-hf,legacy,HQ,0.023752969121140142,280/11788,0.13590091618595182,1602/11788,1322,0,11788
llava-hf/llava-1.5-7b-hf,legacy,HQ,0.03223617237869019,380/11788,0.05658296572785884,667/11788,287,0,11788
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,HQ,0.0007634882931795045,9/11788,0.014166949440108585,167/11788,158,10942,11788
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,HQ,0.20605700712589073,2429/11788,0.414234815066169,4883/11788,2454,11,11788
meta-llama/llama-3.2-11b-vision-instruct,legacy,HQ,0.43561248727519514,5135/11788,0.66610111978283,7852/11788,2717,153,11788
mistral-community/pixtral-12b,legacy,HQ,0.12147947064811673,1432/11788,0.23659653885307091,2789/11788,1357,0,11788
qwen/qwen2-vl-2b-instruct,legacy,HQ,0.13751272480488633,1621/11788,0.20631150322361724,2432/11788,811,0,11788
qwen/qwen2-vl-7b-instruct,legacy,HQ,0.2885137427892772,3401/11788,0.45953512046148626,5417/11788,2016,0,11788
qwen/qwen2.5-vl-3b-instruct,legacy,HQ,0.025873769935527657,305/11788,0.04818459450288429,568/11788,263,10849,11788
qwen/qwen2.5-vl-7b-instruct,legacy,HQ,0.037156430268069224,438/11788,0.17763827621309808,2094/11788,1656,0,11788
qwen/qwen3-vl-2b-instruct,legacy,HQ,0.03622327790973872,427/11788,0.10722768917543264,1264/11788,837,8789,11788
qwen/qwen3-vl-4b-instruct,legacy,HQ,0.10442823210044112,1231/11788,0.37623006447234475,4435/11788,3204,3699,11788
qwen/qwen3-vl-8b-instruct,legacy,HQ,0.20402103834407873,2405/11788,0.3375466576179165,3979/11788,1574,5799,11788
google/paligemma-3b-mix-224,legacy,Silhouette,0.0,0/11788,0.0,0/11788,0,11788,11788
google/paligemma-3b-mix-448,legacy,Silhouette,0.0,0/11788,0.0,0/11788,0,11788,11788
huggingfacetb/smolvlm-instruct,legacy,Silhouette,0.0029691211401425177,35/11788,0.026297930098405156,310/11788,275,0,11788
llava-hf/llava-1.5-13b-hf,legacy,Silhouette,0.007380386834068544,87/11788,0.09051577875805904,1067/11788,980,0,11788
llava-hf/llava-1.5-7b-hf,legacy,Silhouette,0.00500508992195453,59/11788,0.01501526976586359,177/11788,118,0,11788
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,Silhouette,0.0,0/11788,0.0005938242280285036,7/11788,7,11188,11788
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,Silhouette,0.0169664065151001,200/11788,0.028503562945368172,336/11788,136,12,11788
meta-llama/llama-3.2-11b-vision-instruct,legacy,Silhouette,0.020614183915846622,243/11788,0.057007125890736345,672/11788,429,2318,11788
mistral-community/pixtral-12b,legacy,Silhouette,0.011961316593145572,141/11788,0.030369867662029183,358/11788,217,0,11788
qwen/qwen2-vl-2b-instruct,legacy,Silhouette,0.011876484560570071,140/11788,0.03478113335595521,410/11788,270,0,11788
qwen/qwen2-vl-7b-instruct,legacy,Silhouette,0.024177129284017645,285/11788,0.1153715643026807,1360/11788,1075,11,11788
qwen/qwen2.5-vl-3b-instruct,legacy,Silhouette,0.0014421445537835087,17/11788,0.00661689854088904,78/11788,61,10854,11788
qwen/qwen2.5-vl-7b-instruct,legacy,Silhouette,0.002205632846963013,26/11788,0.006956226671191041,82/11788,56,9,11788
qwen/qwen3-vl-2b-instruct,legacy,Silhouette,0.0027146250424160165,32/11788,0.022310824567356634,263/11788,231,8704,11788
qwen/qwen3-vl-4b-instruct,legacy,Silhouette,0.007889379029521547,93/11788,0.04886325076348829,576/11788,483,5204,11788
qwen/qwen3-vl-8b-instruct,legacy,Silhouette,0.002205632846963013,26/11788,0.00500508992195453,59/11788,33,11046,11788
