Model,Type,Phase,Exact Acc,Exact Count,SuperCat Acc,SuperCat Count,SuperCat Only,Failed,Total
google/paligemma-3b-mix-224,legacy,HQ,0.39477786438035856,1013/2566,0.4505066250974279,1156/2566,143,353,2566
google/paligemma-3b-mix-448,legacy,HQ,0.04988308651597818,128/2566,0.07560405300077942,194/2566,66,5,2566
huggingfacetb/smolvlm-instruct,legacy,HQ,0.7147310989867498,1834/2566,0.7852689010132502,2015/2566,181,0,2566
llava-hf/llava-1.5-13b-hf,legacy,HQ,0.6496492595479345,1667/2566,0.7860483242400623,2017/2566,350,0,2566
llava-hf/llava-1.5-7b-hf,legacy,HQ,0.5954793452844894,1528/2566,0.7170693686671863,1840/2566,312,1,2566
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,HQ,0.18238503507404522,468/2566,0.2069368667186282,531/2566,63,1648,2566
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,HQ,0.7957911145752143,2042/2566,0.8807482462977396,2260/2566,218,5,2566
meta-llama/llama-3.2-11b-vision-instruct,legacy,HQ,0.8226812159002338,2111/2566,0.9189399844115355,2358/2566,247,1,2566
mistral-community/pixtral-12b,legacy,HQ,0.6749805144193297,1732/2566,0.7856586126266563,2016/2566,284,0,2566
qwen/qwen2-vl-2b-instruct,legacy,HQ,0.7595479345284489,1949/2566,0.8569758378799688,2199/2566,250,0,2566
qwen/qwen2-vl-7b-instruct,legacy,HQ,0.8172252533125487,2097/2566,0.9002338269680437,2310/2566,213,0,2566
qwen/qwen2.5-vl-3b-instruct,legacy,HQ,0.20849571317225254,535/2566,0.22330475448168355,573/2566,38,1897,2566
qwen/qwen2.5-vl-7b-instruct,legacy,HQ,0.22564302416212004,579/2566,0.2377240841777085,610/2566,31,0,2566
qwen/qwen3-vl-2b-instruct,legacy,HQ,0.14925954793452845,383/2566,0.16289945440374123,418/2566,35,1610,2566
qwen/qwen3-vl-4b-instruct,legacy,HQ,0.5120810600155885,1314/2566,0.5409197194076384,1388/2566,74,246,2566
qwen/qwen3-vl-8b-instruct,legacy,HQ,0.043647700701480906,112/2566,0.04637568199532346,119/2566,7,2436,2566
google/paligemma-3b-mix-224,legacy,Silhouette,0.2774746687451286,712/2566,0.3024162120031177,776/2566,64,24,2566
google/paligemma-3b-mix-448,legacy,Silhouette,0.021044427123928292,54/2566,0.021434138737334373,55/2566,1,1,2566
huggingfacetb/smolvlm-instruct,legacy,Silhouette,0.6773187840997662,1738/2566,0.7560405300077943,1940/2566,202,2,2566
llava-hf/llava-1.5-13b-hf,legacy,Silhouette,0.5561184723304754,1427/2566,0.7283710054559626,1869/2566,442,0,2566
llava-hf/llava-1.5-7b-hf,legacy,Silhouette,0.4848012470771629,1244/2566,0.6512081060015589,1671/2566,427,0,2566
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,Silhouette,0.13211223694466095,339/2566,0.15081839438815275,387/2566,48,1624,2566
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,Silhouette,0.8078721745908028,2073/2566,0.9076383476227592,2329/2566,256,5,2566
meta-llama/llama-3.2-11b-vision-instruct,legacy,Silhouette,0.7903351519875292,2028/2566,0.9138737334372564,2345/2566,317,3,2566
mistral-community/pixtral-12b,legacy,Silhouette,0.7759158222915042,1991/2566,0.9021823850350741,2315/2566,324,0,2566
qwen/qwen2-vl-2b-instruct,legacy,Silhouette,0.8152766952455183,2092/2566,0.9150428682774747,2348/2566,256,0,2566
qwen/qwen2-vl-7b-instruct,legacy,Silhouette,0.8710054559625877,2235/2566,0.9528448947778644,2445/2566,210,0,2566
qwen/qwen2.5-vl-3b-instruct,legacy,Silhouette,0.21745908028059235,558/2566,0.24084177708495713,618/2566,60,1897,2566
qwen/qwen2.5-vl-7b-instruct,legacy,Silhouette,0.23460639127045985,602/2566,0.24707716289945442,634/2566,32,0,2566
qwen/qwen3-vl-2b-instruct,legacy,Silhouette,0.210833982852689,541/2566,0.23460639127045985,602/2566,61,1406,2566
qwen/qwen3-vl-4b-instruct,legacy,Silhouette,0.5292283710054559,1358/2566,0.5604053000779423,1438/2566,80,328,2566
qwen/qwen3-vl-8b-instruct,legacy,Silhouette,0.04520654715510522,116/2566,0.048324240062353856,124/2566,8,2437,2566
