Model,Type,Phase,Exact Acc,Exact Count,SuperCat Acc,SuperCat Count,SuperCat Only,Failed,Total
google/paligemma-3b-mix-224,legacy,HQ,0.9083419155509783,2646/2913,0.9327154136628905,2717/2913,71,0,2913
google/paligemma-3b-mix-448,legacy,HQ,0.8887744593202883,2589/2913,0.924133196017851,2692/2913,103,0,2913
huggingfacetb/smolvlm-instruct,legacy,HQ,0.8173704085135599,2381/2913,0.8338482663920357,2429/2913,48,0,2913
llava-hf/llava-1.5-13b-hf,legacy,HQ,0.8832818400274631,2573/2913,0.9083419155509783,2646/2913,73,0,2913
llava-hf/llava-1.5-7b-hf,legacy,HQ,0.8753861997940268,2550/2913,0.9042224510813595,2634/2913,84,0,2913
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,HQ,0.04497082046000687,131/2913,0.04909028492962582,143/2913,12,2711,2913
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,HQ,0.046343975283213185,135/2913,0.04737384140061792,138/2913,3,2767,2913
meta-llama/llama-3.2-11b-vision-instruct,legacy,HQ,0.9100583590799862,2651/2913,0.9227600411946447,2688/2913,37,0,2913
mistral-community/pixtral-12b,legacy,HQ,0.8709234466186062,2537/2913,0.9220734637830416,2686/2913,149,0,2913
qwen/qwen2-vl-2b-instruct,legacy,HQ,0.9090284929625815,2648/2913,0.9327154136628905,2717/2913,69,0,2913
qwen/qwen2-vl-7b-instruct,legacy,HQ,0.9155509783728115,2667/2913,0.9323721249570889,2716/2913,49,0,2913
qwen/qwen2.5-vl-3b-instruct,legacy,HQ,0.4648129076553381,1354/2913,0.4802608994164092,1399/2913,45,1417,2913
qwen/qwen2.5-vl-7b-instruct,legacy,HQ,0.08273257809818058,241/2913,0.08479231033299005,247/2913,6,0,2913
qwen/qwen3-vl-2b-instruct,legacy,HQ,0.2859594919327154,833/2913,0.29351184346035014,855/2913,22,1969,2913
qwen/qwen3-vl-4b-instruct,legacy,HQ,0.5307243391692413,1546/2913,0.5430827325780981,1582/2913,36,565,2913
qwen/qwen3-vl-8b-instruct,legacy,HQ,0.8400274630964641,2447/2913,0.8499828355647099,2476/2913,29,256,2913
google/paligemma-3b-mix-224,legacy,Silhouette,0.6673532440782698,1944/2913,0.8403707518022657,2448/2913,504,9,2913
google/paligemma-3b-mix-448,legacy,Silhouette,0.6278750429110882,1829/2913,0.7816683831101957,2277/2913,448,0,2913
huggingfacetb/smolvlm-instruct,legacy,Silhouette,0.553038105046344,1611/2913,0.7161002403020941,2086/2913,475,0,2913
llava-hf/llava-1.5-13b-hf,legacy,Silhouette,0.5647099210435976,1645/2913,0.7370408513559904,2147/2913,502,0,2913
llava-hf/llava-1.5-7b-hf,legacy,Silhouette,0.553038105046344,1611/2913,0.7174733951253004,2090/2913,479,0,2913
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,legacy,Silhouette,0.02711980775832475,79/2913,0.04291108822519739,125/2913,46,2682,2913
llava-hf/llava-onevision-qwen2-7b-ov-hf,legacy,Silhouette,0.032955715756951595,96/2913,0.0394782011671816,115/2913,19,2767,2913
meta-llama/llama-3.2-11b-vision-instruct,legacy,Silhouette,0.7040851355990387,2051/2913,0.8414006179196705,2451/2913,400,0,2913
mistral-community/pixtral-12b,legacy,Silhouette,0.624785444558874,1820/2913,0.7840714040508068,2284/2913,464,0,2913
qwen/qwen2-vl-2b-instruct,legacy,Silhouette,0.648472365259183,1889/2913,0.761071060762101,2217/2913,328,0,2913
qwen/qwen2-vl-7b-instruct,legacy,Silhouette,0.6738757294884998,1963/2913,0.8149673875729488,2374/2913,411,0,2913
qwen/qwen2.5-vl-3b-instruct,legacy,Silhouette,0.22622725712324065,659/2913,0.29351184346035014,855/2913,196,1718,2913
qwen/qwen2.5-vl-7b-instruct,legacy,Silhouette,0.06453827669069688,188/2913,0.08067284586337109,235/2913,47,0,2913
qwen/qwen3-vl-2b-instruct,legacy,Silhouette,0.24167524888431172,704/2913,0.27360109852385855,797/2913,93,1828,2913
qwen/qwen3-vl-4b-instruct,legacy,Silhouette,0.3762444215585307,1096/2913,0.4390662547202197,1279/2913,183,967,2913
qwen/qwen3-vl-8b-instruct,legacy,Silhouette,0.605217988328184,1763/2913,0.7301750772399588,2127/2913,364,333,2913
